y/delta,y+,u'u',w'w',v'v',u'w',u'v',w'v',k,u+,dU/dy,v+,P
2.417687116800127e-03,2.418924069453697e+00,9.750482268661868e-01,2.651876275584762e-03,2.566976313137629e-01,-1.596040439950797e-02,-4.133320592489383e-04,-2.875353656365884e-07,6.171988672277672e-01,2.406319147763258e+00,9.816041263540290e-01,-1.729307154419342e-04,-2.651876275584764e-03
2.862328608895792e-03,2.863793051893218e+00,1.341868248854144e+00,4.611936728560457e-03,3.277227220270424e-01,-2.606220755776804e-02,-5.714735261823048e-04,-1.262398297136081e-07,8.371014538048736e-01,2.840767269143609e+00,9.710508879765910e-01,-2.040857716561911e-04,-4.611936728560461e-03
3.345559739698523e-03,3.347271416519292e+00,1.786799855453215e+00,7.564879484801988e-03,4.057052517397533e-01,-4.046423762740117e-02,-7.622478225071185e-04,2.936069965815847e-07,1.100034993338885e+00,3.306793649095791e+00,9.561573252840114e-01,-2.374309338788073e-04,-7.564879484801993e-03
3.867361807964542e-03,3.869340452520091e+00,2.306484537435322e+00,1.179610376172015e-02,4.891238221543884e-01,-5.998165227327245e-02,-9.834737332096374e-04,1.072415546257438e-06,1.403702231675715e+00,3.800915234338345e+00,9.361083294819351e-01,-2.726429245372012e-04,-1.179610376172016e-02
4.427714619738898e-03,4.429979955608904e+00,2.890652883651553e+00,1.760150575999929e-02,5.764423230527338e-01,-8.519898472977194e-02,-1.230851878290856e-03,2.296851765854757e-06,1.742348356232143e+00,4.318699674816375e+00,9.103195410361341e-01,-3.092976464029330e-04,-1.760150575999930e-02
5.026596489136725e-03,5.029168228805792e+00,3.522362825557898e+00,2.527221025208122e-02,6.662480287131330e-01,-1.163551110608673e-01,-1.498715655465550e-03,4.026340155758733e-06,2.106941532261556e+00,4.854831259744603e+00,8.785523748082522e-01,-3.468645771165081e-04,-2.527221025208124e-02
5.663984239183018e-03,5.666882083277795e+00,4.179484912822040e+00,3.508040120593615e-02,7.573382660823993e-01,-1.532750708167193e-01,-1.780792417654773e-03,6.269671524191539e-06,2.485951790055188e+00,5.403292661943506e+00,8.409821640027977e-01,-3.846978300997233e-04,-3.508040120593618e-02
6.339853202709356e-03,6.343096839236119e+00,4.837153658473346e+00,4.726729161549934e-02,8.487491003709883e-01,-1.953648816022273e-01,-2.070631777480397e-03,8.941492448597774e-06,2.866585025229917e+00,5.957645953716142e+00,7.982032863805248e-01,-4.220302593834036e-04,-4.726729161549937e-02
7.054177223308256e-03,7.057786326890970e+00,5.470624555144658e+00,6.203348111678852e-02,9.397337924737137e-01,-2.416694070181122e-01,-2.361706492521519e-03,1.180674270568002e-05,3.236195914367580e+00,6.511375345862861e+00,7.511712226736383e-01,-4.579939367756561e-04,-6.203348111678858e-02
7.806928656345802e-03,7.810922887464708e+00,6.057906912752495e+00,7.953138076836154e-02,1.029708858572892e+00,-2.909787856255466e-01,-2.647515534517708e-03,1.444902301564304e-05,3.583573576046875e+00,7.058242476028899e+00,7.010960584120353e-01,-4.916959532747451e-04,-7.953138076836161e-02
8.598078370031459e-03,8.602477374262202e+00,6.581681431593633e+00,9.985920845389454e-02,1.118189075966507e+00,-3.419600667610426e-01,-2.921954022404915e-03,1.630838074855178e-05,3.899864858007017e+00,7.592605263666388e+00,6.493108078304820e-01,-5.223591248284015e-04,-9.985920845389462e-02
9.427595746545392e-03,9.432419153798731e+00,7.030270029579781e+00,1.230562579634655e-01,1.204730102127870e+00,-3.932889057300556e-01,-3.179919724656146e-03,1.680923987969747e-05,4.179028194835558e+00,8.109661983747017e+00,5.971397201033389e-01,-5.495001191891179e-04,-1.230562579634655e-01
